Year,Production,Fuji,Tsugaru,Orin,JonaGold
2014,816300,436300,91700,60300,56600
2013,741700,396600,85600,59600,51400
2012,793800,432100,86200,65300,58500
2011,655300,351800,84300,51100,49800
2010,786500,440100,84400,69200,60600
2009,845600,475700,96700,67000,68100
2008,910700,505800,105400,74200,80000
2007,840100,468400,99900,70900,74600
2006,831800,460000,98600,70900,78600
2005,818900,453200,100900,73400,73500
2004,754400,416000,94200,61100,75700
2003,842200,462000,106300,72800,82600
2002,925800,511300,117600,81100,88400
2001,930700,510800,119600,81700,88000
2000,799600,417500,109700,71200,77400
1999,927700,499100,123900,78800,86500
1998,879100,449500,125800,78300,83000
1997,993300,533200,137500,86900,79200
1996,899200,463500,121400,81900,72400
1995,962600,498800,145200,85600,66600
1994,989300,527300,133700,81600,68700
1993,1011000,526200,140400,83300,66100
1992,1039000,537700,151100,78600,62100
1991,760400,337500,148100,48700,46600
1990,1053000,535600,143800,72900,55400
1989,1045000,529800,141600,66600,51900
1988,1042000,516100,147800,60800,46900
1987,997900,506400,120500,52300,38200
1986,986100,464600,126700,,
1985,910300,414600,98400,,
1984,811700,359700,76600,,
1983,1048000,447300,80700,,
1982,924500,354800,59000,,
1981,845700,324500,50500,,
1980,960100,319000,43600,,
1979,852700,254100,31100,,
1978,844000,259800,,,
1977,958800,240300,,,
1976,879400,185500,,,
1975,897900,159200,,,
1974,850400,123100,,,
1973,962700,91000,,,
